amenity,geometry,name
restaurant,POINT (9.9082643 44.9626295),Sarni
cafe,POINT (12.4086198 44.1169829),Autogrill
restaurant,POINT (12.4130594 44.1112198),"Chiosco ""Cal Burdeli"""
restaurant,POINT (12.4152902 44.1106655),Ristorante Del Sole
restaurant,POINT (12.3152554 42.5041034),Ristorante Pizzeria Villaggio del Sole
cafe,POINT (12.3120835 42.5000333),My Chef
cafe,POINT (12.4086198 44.1169829),Autogrill
restaurant,POINT (12.4130594 44.1112198),"Chiosco ""Cal Burdeli"""
restaurant,POINT (12.4152902 44.1106655),Ristorante Del Sole
restaurant,POINT (12.3152554 42.5041034),Ristorante Pizzeria Villaggio del Sole
cafe,POINT (12.3120835 42.5000333),My Chef
restaurant,POINT (12.3152554 42.5041034),Ristorante Pizzeria Villaggio del Sole
cafe,POINT (12.3120835 42.5000333),My Chef
restaurant,POINT (13.3766502 46.5024171),Trattoria All'Orso
restaurant,POINT (13.3766502 46.5024171),Trattoria All'Orso
cafe,POINT (12.4086198 44.1169829),Autogrill
restaurant,POINT (12.4130594 44.1112198),"Chiosco ""Cal Burdeli"""
restaurant,POINT (12.4152902 44.1106655),Ristorante Del Sole
restaurant,POINT (13.3766502 46.5024171),Trattoria All'Orso
restaurant,POINT (9.0414025 45.5594692),Autogrill
restaurant,POINT (9.0389963 45.5588459),Autogrill
restaurant,POINT (9.0302797 45.5651706),Ristorante Pizzeria Il Giardino del Golf
restaurant,POINT (9.0298202 45.563454),Sushiko Lainate
restaurant,POINT (9.0414025 45.5594692),Autogrill
restaurant,POINT (9.0389963 45.5588459),Autogrill
restaurant,POINT (9.0302797 45.5651706),Ristorante Pizzeria Il Giardino del Golf
restaurant,POINT (9.0298202 45.563454),Sushiko Lainate
restaurant,POINT (9.0414025 45.5594692),Autogrill
restaurant,POINT (9.0389963 45.5588459),Autogrill
restaurant,POINT (9.0302797 45.5651706),Ristorante Pizzeria Il Giardino del Golf
restaurant,POINT (9.0298202 45.563454),Sushiko Lainate
restaurant,POINT (11.1938167 44.1525155),Bar ristorante pizzeria Badia
restaurant,POINT (11.1933581 44.1505025),Badia Nuova Ovest
restaurant,POINT (11.1938167 44.1525155),Bar ristorante pizzeria Badia
restaurant,POINT (11.1933581 44.1505025),Badia Nuova Ovest
restaurant,POINT (8.5110779 45.0750913),Autogrill
cafe,POINT (8.5093407 45.0739306),Chef Express
restaurant,POINT (8.5110779 45.0750913),Autogrill
cafe,POINT (8.5093407 45.0739306),Chef Express
restaurant,POINT (11.1938167 44.1525155),Bar ristorante pizzeria Badia
restaurant,POINT (11.1933581 44.1505025),Badia Nuova Ovest
cafe,POINT (14.7774393 40.9184672),Punto Caffè
restaurant,POINT (14.7835523 40.925655),Autogrill
restaurant,POINT (14.7833699 40.9255701),Ciao
post_office,POINT (14.7835462 40.9208079),Ufficio Postale - via Giovanni Di G.
,POINT (14.7832404 40.9189379),Casa Mia
cafe,POINT (14.7774393 40.9184672),Punto Caffè
restaurant,POINT (14.7835523 40.925655),Autogrill
restaurant,POINT (14.7833699 40.9255701),Ciao
post_office,POINT (14.7835462 40.9208079),Ufficio Postale - via Giovanni Di G.
,POINT (14.7832404 40.9189379),Casa Mia
restaurant,POINT (8.9533661 44.6045268),Autogrill
cafe,POINT (8.9546909 44.6095018),Gotiotti e Panetti
bar,POINT (8.9547864 44.609191),
restaurant,POINT (8.9523236 44.5990403),La volpe e il gatto
bar,POINT (8.9534551 44.5981652),Bar da o Fuentu
restaurant,POINT (8.5110779 45.0750913),Autogrill
cafe,POINT (8.5093407 45.0739306),Chef Express
restaurant,POINT (8.5110779 45.0750913),Autogrill
cafe,POINT (8.5093407 45.0739306),Chef Express
cafe,POINT (10.8558537 44.6617058),Eataly
cafe,POINT (10.8578243 44.6625963),Acafé
fast_food,POINT (10.8576345 44.6627165),Burger King
restaurant,POINT (10.8574166 44.6625261),Sarni
restaurant,POINT (10.8557309 44.6618607),Autogrill
fast_food,POINT (10.8577157 44.6626692),Spizzico
restaurant,POINT (8.5110779 45.0750913),Autogrill
cafe,POINT (8.5093407 45.0739306),Chef Express
restaurant,POINT (8.5110779 45.0750913),Autogrill
cafe,POINT (8.5093407 45.0739306),Chef Express
cafe,POINT (10.8558537 44.6617058),Eataly
cafe,POINT (10.8578243 44.6625963),Acafé
fast_food,POINT (10.8576345 44.6627165),Burger King
restaurant,POINT (10.8574166 44.6625261),Sarni
restaurant,POINT (10.8557309 44.6618607),Autogrill
fast_food,POINT (10.8577157 44.6626692),Spizzico
cafe,POINT (13.8429745 43.0746405),
cafe,POINT (13.8442225 43.0756324),
restaurant,POINT (13.8466723 43.0793647),Ristorante Casa De Mar
restaurant,POINT (13.84712 43.0702065),Bar Rivera
bar,POINT (13.847726 43.0735269),Lido Oltremare
restaurant,POINT (13.8476874 43.0735239),Lido oltre mare
fast_food,POINT (13.8442915 43.0755987),Spizzico
restaurant,POINT (13.3336649 43.6269581),Autogrill
restaurant,POINT (13.3360249 43.6267152),Sarni
