,connector_evse_id,amenity_bar,amenity_cafe,amenity_cinema,amenity_fast_food,amenity_post_office,amenity_pub,amenity_restaurant,geometry,name,station_name,station_address,station_postal_code,station_coordinates_lat,station_coordinates_lon,station_brand,totEnergy,totSessions,totCost,Potenza (kW),Station Città,Ricavi totali (€) (IVA esclusa),Tempo Totale (min),denominazione_regione,EV_percentage_per_region,competitor_count,density,total_machines
0,IT*F2X*EF2XITA1001,False,False,False,False,False,False,True,"POLYGON ((5046009.037539864 1048492.2334098164, 5046005.185321202 1048413.8196975527, 5045993.6657641865 1048336.1611522035, 5045974.58980845 1048260.0056680128, 5045948.141165873 1048186.0866639243, 5045914.574551343 1048115.1160203556, 5045874.213229706 1048047.7772234008, 5045827.445902554 1047984.7187824855, 5045774.722964813 1047926.5479848671, 5045716.552167195 1047873.8250471262, 5045653.49372628 1047827.0577199743, 5045586.154929325 1047786.6963983377, 5045515.184285756 1047753.1297838073, 5045441.265281668 1047726.6811412306, 5045365.109797477 1047707.6051854938, 5045287.451252128 1047696.0856284787, 5045209.037539864 1047692.2334098164, 5045130.6238276 1047696.0856284787, 5045052.965282251 1047707.6051854938, 5044976.80979806 1047726.6811412306, 5044902.890793972 1047753.1297838073, 5044831.920150403 1047786.6963983377, 5044764.581353448 1047827.0577199743, 5044701.522912533 1047873.8250471262, 5044643.352114915 1047926.5479848671, 5044590.629177174 1047984.7187824855, 5044543.861850022 1048047.7772234008, 5044503.500528385 1048115.1160203556, 5044469.933913855 1048186.0866639243, 5044443.485271278 1048260.0056680128, 5044424.409315541 1048336.1611522035, 5044412.889758526 1048413.8196975527, 5044409.037539864 1048492.2334098164, 5044412.889758526 1048570.6471220801, 5044424.409315541 1048648.3056674292, 5044443.485271278 1048724.46115162, 5044469.933913855 1048798.3801557084, 5044503.500528385 1048869.3507992772, 5044543.861850022 1048936.689596232, 5044590.629177174 1048999.7480371473, 5044643.352114915 1049057.9188347657, 5044701.522912533 1049110.6417725065, 5044764.581353448 1049157.4090996585, 5044831.920150403 1049197.7704212952, 5044902.890793972 1049231.3370358255, 5044976.80979806 1049257.785678402, 5045052.965282251 1049276.861634139, 5045130.6238276 1049288.3811911542, 5045209.037539864 1049292.2334098164, 5045287.451252128 1049288.3811911542, 5045365.109797477 1049276.861634139, 5045441.265281668 1049257.785678402, 5045515.184285756 1049231.3370358255, 5045586.154929325 1049197.7704212952, 5045653.49372628 1049157.4090996585, 5045716.552167195 1049110.6417725065, 5045774.722964813 1049057.9188347657, 5045827.445902554 1048999.7480371473, 5045874.213229706 1048936.689596232, 5045914.574551343 1048869.3507992772, 5045948.141165873 1048798.3801557084, 5045974.58980845 1048724.46115162, 5045993.6657641865 1048648.3056674292, 5046005.185321202 1048570.6471220801, 5046009.037539864 1048492.2334098164))",My Chef,Area di Servizio - San Zenone al Lambro Est,A1 - Autostrada del Sole,20070,45.321512,9.37723,alpitronic GmbH,33353.18399999995,1113,22626.82,300.0,Melegnano,33739.91,35982.0,Lombardia,0.0767,0,10126859.879724,108054
1,IT*F2X*EF2XITA1002,False,False,False,False,False,False,True,"POLYGON ((5046009.037539864 1048492.2334098164, 5046005.185321202 1048413.8196975527, 5045993.6657641865 1048336.1611522035, 5045974.58980845 1048260.0056680128, 5045948.141165873 1048186.0866639243, 5045914.574551343 1048115.1160203556, 5045874.213229706 1048047.7772234008, 5045827.445902554 1047984.7187824855, 5045774.722964813 1047926.5479848671, 5045716.552167195 1047873.8250471262, 5045653.49372628 1047827.0577199743, 5045586.154929325 1047786.6963983377, 5045515.184285756 1047753.1297838073, 5045441.265281668 1047726.6811412306, 5045365.109797477 1047707.6051854938, 5045287.451252128 1047696.0856284787, 5045209.037539864 1047692.2334098164, 5045130.6238276 1047696.0856284787, 5045052.965282251 1047707.6051854938, 5044976.80979806 1047726.6811412306, 5044902.890793972 1047753.1297838073, 5044831.920150403 1047786.6963983377, 5044764.581353448 1047827.0577199743, 5044701.522912533 1047873.8250471262, 5044643.352114915 1047926.5479848671, 5044590.629177174 1047984.7187824855, 5044543.861850022 1048047.7772234008, 5044503.500528385 1048115.1160203556, 5044469.933913855 1048186.0866639243, 5044443.485271278 1048260.0056680128, 5044424.409315541 1048336.1611522035, 5044412.889758526 1048413.8196975527, 5044409.037539864 1048492.2334098164, 5044412.889758526 1048570.6471220801, 5044424.409315541 1048648.3056674292, 5044443.485271278 1048724.46115162, 5044469.933913855 1048798.3801557084, 5044503.500528385 1048869.3507992772, 5044543.861850022 1048936.689596232, 5044590.629177174 1048999.7480371473, 5044643.352114915 1049057.9188347657, 5044701.522912533 1049110.6417725065, 5044764.581353448 1049157.4090996585, 5044831.920150403 1049197.7704212952, 5044902.890793972 1049231.3370358255, 5044976.80979806 1049257.785678402, 5045052.965282251 1049276.861634139, 5045130.6238276 1049288.3811911542, 5045209.037539864 1049292.2334098164, 5045287.451252128 1049288.3811911542, 5045365.109797477 1049276.861634139, 5045441.265281668 1049257.785678402, 5045515.184285756 1049231.3370358255, 5045586.154929325 1049197.7704212952, 5045653.49372628 1049157.4090996585, 5045716.552167195 1049110.6417725065, 5045774.722964813 1049057.9188347657, 5045827.445902554 1048999.7480371473, 5045874.213229706 1048936.689596232, 5045914.574551343 1048869.3507992772, 5045948.141165873 1048798.3801557084, 5045974.58980845 1048724.46115162, 5045993.6657641865 1048648.3056674292, 5046005.185321202 1048570.6471220801, 5046009.037539864 1048492.2334098164))",My Chef,Area di Servizio - San Zenone al Lambro Est,A1 - Autostrada del Sole,20070,45.32147,9.377177,alpitronic GmbH,31344.288000000008,1032,21191.46,300.0,Melegnano,31696.0,35280.0,Lombardia,0.0767,0,10126859.879724,108054
2,IT*F2X*EF2XITA1003,False,False,False,False,False,False,True,"POLYGON ((5046009.037539864 1048492.2334098164, 5046005.185321202 1048413.8196975527, 5045993.6657641865 1048336.1611522035, 5045974.58980845 1048260.0056680128, 5045948.141165873 1048186.0866639243, 5045914.574551343 1048115.1160203556, 5045874.213229706 1048047.7772234008, 5045827.445902554 1047984.7187824855, 5045774.722964813 1047926.5479848671, 5045716.552167195 1047873.8250471262, 5045653.49372628 1047827.0577199743, 5045586.154929325 1047786.6963983377, 5045515.184285756 1047753.1297838073, 5045441.265281668 1047726.6811412306, 5045365.109797477 1047707.6051854938, 5045287.451252128 1047696.0856284787, 5045209.037539864 1047692.2334098164, 5045130.6238276 1047696.0856284787, 5045052.965282251 1047707.6051854938, 5044976.80979806 1047726.6811412306, 5044902.890793972 1047753.1297838073, 5044831.920150403 1047786.6963983377, 5044764.581353448 1047827.0577199743, 5044701.522912533 1047873.8250471262, 5044643.352114915 1047926.5479848671, 5044590.629177174 1047984.7187824855, 5044543.861850022 1048047.7772234008, 5044503.500528385 1048115.1160203556, 5044469.933913855 1048186.0866639243, 5044443.485271278 1048260.0056680128, 5044424.409315541 1048336.1611522035, 5044412.889758526 1048413.8196975527, 5044409.037539864 1048492.2334098164, 5044412.889758526 1048570.6471220801, 5044424.409315541 1048648.3056674292, 5044443.485271278 1048724.46115162, 5044469.933913855 1048798.3801557084, 5044503.500528385 1048869.3507992772, 5044543.861850022 1048936.689596232, 5044590.629177174 1048999.7480371473, 5044643.352114915 1049057.9188347657, 5044701.522912533 1049110.6417725065, 5044764.581353448 1049157.4090996585, 5044831.920150403 1049197.7704212952, 5044902.890793972 1049231.3370358255, 5044976.80979806 1049257.785678402, 5045052.965282251 1049276.861634139, 5045130.6238276 1049288.3811911542, 5045209.037539864 1049292.2334098164, 5045287.451252128 1049288.3811911542, 5045365.109797477 1049276.861634139, 5045441.265281668 1049257.785678402, 5045515.184285756 1049231.3370358255, 5045586.154929325 1049197.7704212952, 5045653.49372628 1049157.4090996585, 5045716.552167195 1049110.6417725065, 5045774.722964813 1049057.9188347657, 5045827.445902554 1048999.7480371473, 5045874.213229706 1048936.689596232, 5045914.574551343 1048869.3507992772, 5045948.141165873 1048798.3801557084, 5045974.58980845 1048724.46115162, 5045993.6657641865 1048648.3056674292, 5046005.185321202 1048570.6471220801, 5046009.037539864 1048492.2334098164))",My Chef,Area di Servizio - San Zenone al Lambro Est,A1 - Autostrada del Sole,20070,45.32152,9.377206,alpitronic GmbH,6132.222000000001,171,4120.99,,,,,Lombardia,0.0767,0,10126859.879724,108054
3,IT*F2X*EF2XITA1004,False,False,False,False,False,False,True,"POLYGON ((5046009.037539864 1048492.2334098164, 5046005.185321202 1048413.8196975527, 5045993.6657641865 1048336.1611522035, 5045974.58980845 1048260.0056680128, 5045948.141165873 1048186.0866639243, 5045914.574551343 1048115.1160203556, 5045874.213229706 1048047.7772234008, 5045827.445902554 1047984.7187824855, 5045774.722964813 1047926.5479848671, 5045716.552167195 1047873.8250471262, 5045653.49372628 1047827.0577199743, 5045586.154929325 1047786.6963983377, 5045515.184285756 1047753.1297838073, 5045441.265281668 1047726.6811412306, 5045365.109797477 1047707.6051854938, 5045287.451252128 1047696.0856284787, 5045209.037539864 1047692.2334098164, 5045130.6238276 1047696.0856284787, 5045052.965282251 1047707.6051854938, 5044976.80979806 1047726.6811412306, 5044902.890793972 1047753.1297838073, 5044831.920150403 1047786.6963983377, 5044764.581353448 1047827.0577199743, 5044701.522912533 1047873.8250471262, 5044643.352114915 1047926.5479848671, 5044590.629177174 1047984.7187824855, 5044543.861850022 1048047.7772234008, 5044503.500528385 1048115.1160203556, 5044469.933913855 1048186.0866639243, 5044443.485271278 1048260.0056680128, 5044424.409315541 1048336.1611522035, 5044412.889758526 1048413.8196975527, 5044409.037539864 1048492.2334098164, 5044412.889758526 1048570.6471220801, 5044424.409315541 1048648.3056674292, 5044443.485271278 1048724.46115162, 5044469.933913855 1048798.3801557084, 5044503.500528385 1048869.3507992772, 5044543.861850022 1048936.689596232, 5044590.629177174 1048999.7480371473, 5044643.352114915 1049057.9188347657, 5044701.522912533 1049110.6417725065, 5044764.581353448 1049157.4090996585, 5044831.920150403 1049197.7704212952, 5044902.890793972 1049231.3370358255, 5044976.80979806 1049257.785678402, 5045052.965282251 1049276.861634139, 5045130.6238276 1049288.3811911542, 5045209.037539864 1049292.2334098164, 5045287.451252128 1049288.3811911542, 5045365.109797477 1049276.861634139, 5045441.265281668 1049257.785678402, 5045515.184285756 1049231.3370358255, 5045586.154929325 1049197.7704212952, 5045653.49372628 1049157.4090996585, 5045716.552167195 1049110.6417725065, 5045774.722964813 1049057.9188347657, 5045827.445902554 1048999.7480371473, 5045874.213229706 1048936.689596232, 5045914.574551343 1048869.3507992772, 5045948.141165873 1048798.3801557084, 5045974.58980845 1048724.46115162, 5045993.6657641865 1048648.3056674292, 5046005.185321202 1048570.6471220801, 5046009.037539864 1048492.2334098164))",My Chef,Area di Servizio - San Zenone al Lambro Est,A1 - Autostrada del Sole,20070,45.321494,9.377169,alpitronic GmbH,2080.737,64,1397.96,,,,,Lombardia,0.0767,0,10126859.879724,108054
4,IT*F2X*EF2XITA1051,False,False,False,False,False,False,True,"POLYGON ((5046009.037539864 1048492.2334098164, 5046005.185321202 1048413.8196975527, 5045993.6657641865 1048336.1611522035, 5045974.58980845 1048260.0056680128, 5045948.141165873 1048186.0866639243, 5045914.574551343 1048115.1160203556, 5045874.213229706 1048047.7772234008, 5045827.445902554 1047984.7187824855, 5045774.722964813 1047926.5479848671, 5045716.552167195 1047873.8250471262, 5045653.49372628 1047827.0577199743, 5045586.154929325 1047786.6963983377, 5045515.184285756 1047753.1297838073, 5045441.265281668 1047726.6811412306, 5045365.109797477 1047707.6051854938, 5045287.451252128 1047696.0856284787, 5045209.037539864 1047692.2334098164, 5045130.6238276 1047696.0856284787, 5045052.965282251 1047707.6051854938, 5044976.80979806 1047726.6811412306, 5044902.890793972 1047753.1297838073, 5044831.920150403 1047786.6963983377, 5044764.581353448 1047827.0577199743, 5044701.522912533 1047873.8250471262, 5044643.352114915 1047926.5479848671, 5044590.629177174 1047984.7187824855, 5044543.861850022 1048047.7772234008, 5044503.500528385 1048115.1160203556, 5044469.933913855 1048186.0866639243, 5044443.485271278 1048260.0056680128, 5044424.409315541 1048336.1611522035, 5044412.889758526 1048413.8196975527, 5044409.037539864 1048492.2334098164, 5044412.889758526 1048570.6471220801, 5044424.409315541 1048648.3056674292, 5044443.485271278 1048724.46115162, 5044469.933913855 1048798.3801557084, 5044503.500528385 1048869.3507992772, 5044543.861850022 1048936.689596232, 5044590.629177174 1048999.7480371473, 5044643.352114915 1049057.9188347657, 5044701.522912533 1049110.6417725065, 5044764.581353448 1049157.4090996585, 5044831.920150403 1049197.7704212952, 5044902.890793972 1049231.3370358255, 5044976.80979806 1049257.785678402, 5045052.965282251 1049276.861634139, 5045130.6238276 1049288.3811911542, 5045209.037539864 1049292.2334098164, 5045287.451252128 1049288.3811911542, 5045365.109797477 1049276.861634139, 5045441.265281668 1049257.785678402, 5045515.184285756 1049231.3370358255, 5045586.154929325 1049197.7704212952, 5045653.49372628 1049157.4090996585, 5045716.552167195 1049110.6417725065, 5045774.722964813 1049057.9188347657, 5045827.445902554 1048999.7480371473, 5045874.213229706 1048936.689596232, 5045914.574551343 1048869.3507992772, 5045948.141165873 1048798.3801557084, 5045974.58980845 1048724.46115162, 5045993.6657641865 1048648.3056674292, 5046005.185321202 1048570.6471220801, 5046009.037539864 1048492.2334098164))",My Chef,Area di Servizio - San Zenone al Lambro Est,A1 - Autostrada del Sole,20070,45.321575,9.377425,EVTEC,769.224,121,347.06,22.0,Melegnano,416.08,5321.0,Lombardia,0.0767,0,10126859.879724,108054
5,IT*F2X*EF2XITA1101,False,False,False,False,False,False,True,"POLYGON ((5046009.037539864 1048492.2334098164, 5046005.185321202 1048413.8196975527, 5045993.6657641865 1048336.1611522035, 5045974.58980845 1048260.0056680128, 5045948.141165873 1048186.0866639243, 5045914.574551343 1048115.1160203556, 5045874.213229706 1048047.7772234008, 5045827.445902554 1047984.7187824855, 5045774.722964813 1047926.5479848671, 5045716.552167195 1047873.8250471262, 5045653.49372628 1047827.0577199743, 5045586.154929325 1047786.6963983377, 5045515.184285756 1047753.1297838073, 5045441.265281668 1047726.6811412306, 5045365.109797477 1047707.6051854938, 5045287.451252128 1047696.0856284787, 5045209.037539864 1047692.2334098164, 5045130.6238276 1047696.0856284787, 5045052.965282251 1047707.6051854938, 5044976.80979806 1047726.6811412306, 5044902.890793972 1047753.1297838073, 5044831.920150403 1047786.6963983377, 5044764.581353448 1047827.0577199743, 5044701.522912533 1047873.8250471262, 5044643.352114915 1047926.5479848671, 5044590.629177174 1047984.7187824855, 5044543.861850022 1048047.7772234008, 5044503.500528385 1048115.1160203556, 5044469.933913855 1048186.0866639243, 5044443.485271278 1048260.0056680128, 5044424.409315541 1048336.1611522035, 5044412.889758526 1048413.8196975527, 5044409.037539864 1048492.2334098164, 5044412.889758526 1048570.6471220801, 5044424.409315541 1048648.3056674292, 5044443.485271278 1048724.46115162, 5044469.933913855 1048798.3801557084, 5044503.500528385 1048869.3507992772, 5044543.861850022 1048936.689596232, 5044590.629177174 1048999.7480371473, 5044643.352114915 1049057.9188347657, 5044701.522912533 1049110.6417725065, 5044764.581353448 1049157.4090996585, 5044831.920150403 1049197.7704212952, 5044902.890793972 1049231.3370358255, 5044976.80979806 1049257.785678402, 5045052.965282251 1049276.861634139, 5045130.6238276 1049288.3811911542, 5045209.037539864 1049292.2334098164, 5045287.451252128 1049288.3811911542, 5045365.109797477 1049276.861634139, 5045441.265281668 1049257.785678402, 5045515.184285756 1049231.3370358255, 5045586.154929325 1049197.7704212952, 5045653.49372628 1049157.4090996585, 5045716.552167195 1049110.6417725065, 5045774.722964813 1049057.9188347657, 5045827.445902554 1048999.7480371473, 5045874.213229706 1048936.689596232, 5045914.574551343 1048869.3507992772, 5045948.141165873 1048798.3801557084, 5045974.58980845 1048724.46115162, 5045993.6657641865 1048648.3056674292, 5046005.185321202 1048570.6471220801, 5046009.037539864 1048492.2334098164))",My Chef,Area di Servizio - San Zenone al Lambro Ovest,A1 - Autostrada del Sole,20070,45.321025,9.375251,alpitronic GmbH,21696.347999999984,712,14725.41,300.0,Melegnano,16891.81,20528.0,Lombardia,0.0767,0,10126859.879724,108054
6,IT*F2X*EF2XITA1102,False,False,False,False,False,False,True,"POLYGON ((5046009.037539864 1048492.2334098164, 5046005.185321202 1048413.8196975527, 5045993.6657641865 1048336.1611522035, 5045974.58980845 1048260.0056680128, 5045948.141165873 1048186.0866639243, 5045914.574551343 1048115.1160203556, 5045874.213229706 1048047.7772234008, 5045827.445902554 1047984.7187824855, 5045774.722964813 1047926.5479848671, 5045716.552167195 1047873.8250471262, 5045653.49372628 1047827.0577199743, 5045586.154929325 1047786.6963983377, 5045515.184285756 1047753.1297838073, 5045441.265281668 1047726.6811412306, 5045365.109797477 1047707.6051854938, 5045287.451252128 1047696.0856284787, 5045209.037539864 1047692.2334098164, 5045130.6238276 1047696.0856284787, 5045052.965282251 1047707.6051854938, 5044976.80979806 1047726.6811412306, 5044902.890793972 1047753.1297838073, 5044831.920150403 1047786.6963983377, 5044764.581353448 1047827.0577199743, 5044701.522912533 1047873.8250471262, 5044643.352114915 1047926.5479848671, 5044590.629177174 1047984.7187824855, 5044543.861850022 1048047.7772234008, 5044503.500528385 1048115.1160203556, 5044469.933913855 1048186.0866639243, 5044443.485271278 1048260.0056680128, 5044424.409315541 1048336.1611522035, 5044412.889758526 1048413.8196975527, 5044409.037539864 1048492.2334098164, 5044412.889758526 1048570.6471220801, 5044424.409315541 1048648.3056674292, 5044443.485271278 1048724.46115162, 5044469.933913855 1048798.3801557084, 5044503.500528385 1048869.3507992772, 5044543.861850022 1048936.689596232, 5044590.629177174 1048999.7480371473, 5044643.352114915 1049057.9188347657, 5044701.522912533 1049110.6417725065, 5044764.581353448 1049157.4090996585, 5044831.920150403 1049197.7704212952, 5044902.890793972 1049231.3370358255, 5044976.80979806 1049257.785678402, 5045052.965282251 1049276.861634139, 5045130.6238276 1049288.3811911542, 5045209.037539864 1049292.2334098164, 5045287.451252128 1049288.3811911542, 5045365.109797477 1049276.861634139, 5045441.265281668 1049257.785678402, 5045515.184285756 1049231.3370358255, 5045586.154929325 1049197.7704212952, 5045653.49372628 1049157.4090996585, 5045716.552167195 1049110.6417725065, 5045774.722964813 1049057.9188347657, 5045827.445902554 1048999.7480371473, 5045874.213229706 1048936.689596232, 5045914.574551343 1048869.3507992772, 5045948.141165873 1048798.3801557084, 5045974.58980845 1048724.46115162, 5045993.6657641865 1048648.3056674292, 5046005.185321202 1048570.6471220801, 5046009.037539864 1048492.2334098164))",My Chef,Area di Servizio - San Zenone al Lambro Ovest,A1 - Autostrada del Sole,20070,45.321051,9.375283,alpitronic GmbH,25910.983999999964,837,17607.39,300.0,Melegnano,20923.24,25324.0,Lombardia,0.0767,0,10126859.879724,108054
7,IT*F2X*EF2XITA1103,False,False,False,False,False,False,True,"POLYGON ((5046009.037539864 1048492.2334098164, 5046005.185321202 1048413.8196975527, 5045993.6657641865 1048336.1611522035, 5045974.58980845 1048260.0056680128, 5045948.141165873 1048186.0866639243, 5045914.574551343 1048115.1160203556, 5045874.213229706 1048047.7772234008, 5045827.445902554 1047984.7187824855, 5045774.722964813 1047926.5479848671, 5045716.552167195 1047873.8250471262, 5045653.49372628 1047827.0577199743, 5045586.154929325 1047786.6963983377, 5045515.184285756 1047753.1297838073, 5045441.265281668 1047726.6811412306, 5045365.109797477 1047707.6051854938, 5045287.451252128 1047696.0856284787, 5045209.037539864 1047692.2334098164, 5045130.6238276 1047696.0856284787, 5045052.965282251 1047707.6051854938, 5044976.80979806 1047726.6811412306, 5044902.890793972 1047753.1297838073, 5044831.920150403 1047786.6963983377, 5044764.581353448 1047827.0577199743, 5044701.522912533 1047873.8250471262, 5044643.352114915 1047926.5479848671, 5044590.629177174 1047984.7187824855, 5044543.861850022 1048047.7772234008, 5044503.500528385 1048115.1160203556, 5044469.933913855 1048186.0866639243, 5044443.485271278 1048260.0056680128, 5044424.409315541 1048336.1611522035, 5044412.889758526 1048413.8196975527, 5044409.037539864 1048492.2334098164, 5044412.889758526 1048570.6471220801, 5044424.409315541 1048648.3056674292, 5044443.485271278 1048724.46115162, 5044469.933913855 1048798.3801557084, 5044503.500528385 1048869.3507992772, 5044543.861850022 1048936.689596232, 5044590.629177174 1048999.7480371473, 5044643.352114915 1049057.9188347657, 5044701.522912533 1049110.6417725065, 5044764.581353448 1049157.4090996585, 5044831.920150403 1049197.7704212952, 5044902.890793972 1049231.3370358255, 5044976.80979806 1049257.785678402, 5045052.965282251 1049276.861634139, 5045130.6238276 1049288.3811911542, 5045209.037539864 1049292.2334098164, 5045287.451252128 1049288.3811911542, 5045365.109797477 1049276.861634139, 5045441.265281668 1049257.785678402, 5045515.184285756 1049231.3370358255, 5045586.154929325 1049197.7704212952, 5045653.49372628 1049157.4090996585, 5045716.552167195 1049110.6417725065, 5045774.722964813 1049057.9188347657, 5045827.445902554 1048999.7480371473, 5045874.213229706 1048936.689596232, 5045914.574551343 1048869.3507992772, 5045948.141165873 1048798.3801557084, 5045974.58980845 1048724.46115162, 5045993.6657641865 1048648.3056674292, 5046005.185321202 1048570.6471220801, 5046009.037539864 1048492.2334098164))",My Chef,Area di Servizio - San Zenone al Lambro Ovest,A1 - Autostrada del Sole,20070,45.321034,9.375245,alpitronic GmbH,7353.597999999998,215,4975.06,,,,,Lombardia,0.0767,0,10126859.879724,108054
8,IT*F2X*EF2XITA1104,False,False,False,False,False,False,True,"POLYGON ((5046009.037539864 1048492.2334098164, 5046005.185321202 1048413.8196975527, 5045993.6657641865 1048336.1611522035, 5045974.58980845 1048260.0056680128, 5045948.141165873 1048186.0866639243, 5045914.574551343 1048115.1160203556, 5045874.213229706 1048047.7772234008, 5045827.445902554 1047984.7187824855, 5045774.722964813 1047926.5479848671, 5045716.552167195 1047873.8250471262, 5045653.49372628 1047827.0577199743, 5045586.154929325 1047786.6963983377, 5045515.184285756 1047753.1297838073, 5045441.265281668 1047726.6811412306, 5045365.109797477 1047707.6051854938, 5045287.451252128 1047696.0856284787, 5045209.037539864 1047692.2334098164, 5045130.6238276 1047696.0856284787, 5045052.965282251 1047707.6051854938, 5044976.80979806 1047726.6811412306, 5044902.890793972 1047753.1297838073, 5044831.920150403 1047786.6963983377, 5044764.581353448 1047827.0577199743, 5044701.522912533 1047873.8250471262, 5044643.352114915 1047926.5479848671, 5044590.629177174 1047984.7187824855, 5044543.861850022 1048047.7772234008, 5044503.500528385 1048115.1160203556, 5044469.933913855 1048186.0866639243, 5044443.485271278 1048260.0056680128, 5044424.409315541 1048336.1611522035, 5044412.889758526 1048413.8196975527, 5044409.037539864 1048492.2334098164, 5044412.889758526 1048570.6471220801, 5044424.409315541 1048648.3056674292, 5044443.485271278 1048724.46115162, 5044469.933913855 1048798.3801557084, 5044503.500528385 1048869.3507992772, 5044543.861850022 1048936.689596232, 5044590.629177174 1048999.7480371473, 5044643.352114915 1049057.9188347657, 5044701.522912533 1049110.6417725065, 5044764.581353448 1049157.4090996585, 5044831.920150403 1049197.7704212952, 5044902.890793972 1049231.3370358255, 5044976.80979806 1049257.785678402, 5045052.965282251 1049276.861634139, 5045130.6238276 1049288.3811911542, 5045209.037539864 1049292.2334098164, 5045287.451252128 1049288.3811911542, 5045365.109797477 1049276.861634139, 5045441.265281668 1049257.785678402, 5045515.184285756 1049231.3370358255, 5045586.154929325 1049197.7704212952, 5045653.49372628 1049157.4090996585, 5045716.552167195 1049110.6417725065, 5045774.722964813 1049057.9188347657, 5045827.445902554 1048999.7480371473, 5045874.213229706 1048936.689596232, 5045914.574551343 1048869.3507992772, 5045948.141165873 1048798.3801557084, 5045974.58980845 1048724.46115162, 5045993.6657641865 1048648.3056674292, 5046005.185321202 1048570.6471220801, 5046009.037539864 1048492.2334098164))",My Chef,Area di Servizio - San Zenone al Lambro Ovest,A1 - Autostrada del Sole,20070,45.321055,9.375276,alpitronic GmbH,8840.431,249,6031.03,,,,,Lombardia,0.0767,0,10126859.879724,108054
9,IT*F2X*EF2XITA1151,False,False,False,False,False,False,True,"POLYGON ((5046009.037539864 1048492.2334098164, 5046005.185321202 1048413.8196975527, 5045993.6657641865 1048336.1611522035, 5045974.58980845 1048260.0056680128, 5045948.141165873 1048186.0866639243, 5045914.574551343 1048115.1160203556, 5045874.213229706 1048047.7772234008, 5045827.445902554 1047984.7187824855, 5045774.722964813 1047926.5479848671, 5045716.552167195 1047873.8250471262, 5045653.49372628 1047827.0577199743, 5045586.154929325 1047786.6963983377, 5045515.184285756 1047753.1297838073, 5045441.265281668 1047726.6811412306, 5045365.109797477 1047707.6051854938, 5045287.451252128 1047696.0856284787, 5045209.037539864 1047692.2334098164, 5045130.6238276 1047696.0856284787, 5045052.965282251 1047707.6051854938, 5044976.80979806 1047726.6811412306, 5044902.890793972 1047753.1297838073, 5044831.920150403 1047786.6963983377, 5044764.581353448 1047827.0577199743, 5044701.522912533 1047873.8250471262, 5044643.352114915 1047926.5479848671, 5044590.629177174 1047984.7187824855, 5044543.861850022 1048047.7772234008, 5044503.500528385 1048115.1160203556, 5044469.933913855 1048186.0866639243, 5044443.485271278 1048260.0056680128, 5044424.409315541 1048336.1611522035, 5044412.889758526 1048413.8196975527, 5044409.037539864 1048492.2334098164, 5044412.889758526 1048570.6471220801, 5044424.409315541 1048648.3056674292, 5044443.485271278 1048724.46115162, 5044469.933913855 1048798.3801557084, 5044503.500528385 1048869.3507992772, 5044543.861850022 1048936.689596232, 5044590.629177174 1048999.7480371473, 5044643.352114915 1049057.9188347657, 5044701.522912533 1049110.6417725065, 5044764.581353448 1049157.4090996585, 5044831.920150403 1049197.7704212952, 5044902.890793972 1049231.3370358255, 5044976.80979806 1049257.785678402, 5045052.965282251 1049276.861634139, 5045130.6238276 1049288.3811911542, 5045209.037539864 1049292.2334098164, 5045287.451252128 1049288.3811911542, 5045365.109797477 1049276.861634139, 5045441.265281668 1049257.785678402, 5045515.184285756 1049231.3370358255, 5045586.154929325 1049197.7704212952, 5045653.49372628 1049157.4090996585, 5045716.552167195 1049110.6417725065, 5045774.722964813 1049057.9188347657, 5045827.445902554 1048999.7480371473, 5045874.213229706 1048936.689596232, 5045914.574551343 1048869.3507992772, 5045948.141165873 1048798.3801557084, 5045974.58980845 1048724.46115162, 5045993.6657641865 1048648.3056674292, 5046005.185321202 1048570.6471220801, 5046009.037539864 1048492.2334098164))",My Chef,Area di Servizio - San Zenone al Lambro Ovest,A1 - Autostrada del Sole,20070,45.320858,9.375379,EVTEC,1295.8480000000004,202,583.12,22.0,Melegnano,421.74,5693.0,Lombardia,0.0767,0,10126859.879724,108054
