outletId,chargerId,position,type,physicalPosition,cableLength,producer,errorCode,hycErrorCode,status,text,updateTime,isPrivate
131019,20800,1,CCS2_400,1.0,500,,NoError,NoError,Charging,No Error,2024-09-03T20:33:19+00:00,False
131020,20800,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T10:03:11+00:00,False
114049,17737,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:14:17+00:00,False
114050,17737,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:02:03+00:00,False
1463518,83776,1,CCS2_400,1.0,500,,NoError,,Available,No Error,2024-09-02T17:50:29+00:00,False
1463519,83776,2,CCS2_400,4.0,500,,NoError,,Available,No Error,2024-09-03T12:10:57+00:00,False
128240,19519,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-02T07:20:37+00:00,False
128241,19519,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-01T09:23:34+00:00,False
128256,19531,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T19:46:41+00:00,False
128257,19531,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:12:41+00:00,False
131037,20793,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:38:38+00:00,False
131038,20793,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:03:10+00:00,False
89456,13422,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:47:37+00:00,False
89457,13422,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:54:45+00:00,False
43866,6727,1,CCS2_400,1.0,500,,NoError,NoError,Unavailable,No Error,2023-08-27T09:45:36+00:00,False
43867,6727,2,CCS2_400,4.0,500,,NoError,NoError,Unavailable,No Error,2023-08-27T09:45:47+00:00,False
523166,36831,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T19:17:14+00:00,False
523167,36831,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T19:47:57+00:00,False
63936,9919,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T08:47:48+00:00,False
63937,9919,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:22:41+00:00,False
113894,16942,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:33:30+00:00,False
113895,16942,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:56:39+00:00,False
62636,9005,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-02T16:24:18+00:00,False
62637,9005,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-02T16:24:06+00:00,False
89466,13425,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:28:07+00:00,False
89467,13425,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:38:03+00:00,False
127903,19529,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T13:32:35+00:00,False
127904,19529,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:21:26+00:00,False
57303,8934,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T12:08:00+00:00,False
57304,8934,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T06:51:28+00:00,False
63108,9817,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:38:03+00:00,False
63109,9817,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:29:02+00:00,False
84012,12619,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:42:50+00:00,False
84013,12619,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:16:50+00:00,False
1462575,83765,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T13:51:23+00:00,False
1462576,83765,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:15:20+00:00,False
89642,13447,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:16:02+00:00,False
89643,13447,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T13:55:15+00:00,False
90739,9835,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:23:18+00:00,False
90740,9835,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:04:24+00:00,False
131974,20805,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:45:31+00:00,False
