connector_evse_id,station_name,station_address,station_postal_code,station_coordinates_lat,station_coordinates_lon,station_brand,totEnergy,totSessions,totCost,Potenza (kW),Station Città,Ricavi totali (€) (IVA esclusa),Tempo Totale (min),denominazione_regione,EV_percentage_per_region
IT*F2X*EF2XITA2151*1,Area di Servizio - Arda Ovest,A1 - Autostrada del Sole,29017,44.96266,9.90426,EVTEC,4195.081,201,2312.77,62.5,Fiorenzuola d'Arda,2044.24,5064.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITA2151*2,Area di Servizio - Arda Ovest,A1 - Autostrada del Sole,29017,44.96266,9.90426,EVTEC,1273.4409999999998,80,700.4,62.5,Fiorenzuola d'Arda,666.06,2720.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITA2151*3,Area di Servizio - Arda Ovest,A1 - Autostrada del Sole,29017,44.96266,9.90426,EVTEC,2097.307999999999,297,944.33,22.0,Fiorenzuola d'Arda,773.02,10326.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITN3001*1,Area di Servizio - Rubicone Est,A14 - Autostrada Adriatica,47039,44.116922,12.409015,alpitronic GmbH,40645.66799999995,1220,27640.46,300.0,Savignano sul Rubicone,23618.83,26046.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITN3001*2,Area di Servizio - Rubicone Est,A14 - Autostrada Adriatica,47039,44.116922,12.409015,alpitronic GmbH,36914.25200000003,1096,25102.3,300.0,Savignano sul Rubicone,18580.26,21955.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITD2051*1,Area di Servizio - Brianza Nord,A4 Torino - Trieste,20864,45.57589,9.39336,EVTEC,2465.812000000001,149,1356.24,62.5,Caponago,1446.77,3574.0,Lombardia,0.0767
IT*F2X*EF2XITD2051*2,Area di Servizio - Brianza Nord,A4 Torino - Trieste,20864,45.57589,9.39336,EVTEC,717.9759999999998,55,389.77,62.5,Caponago,480.38,1675.0,Lombardia,0.0767
IT*F2X*EF2XITD2051*3,Area di Servizio - Brianza Nord,A4 Torino - Trieste,20864,45.57589,9.39336,EVTEC,1301.2609999999993,177,586.78,22.0,Caponago,684.45,9507.0,Lombardia,0.0767
IT*F2X*EF2XITA9651*1,Area di Servizio - Giove Ovest,A1 - Autostrada del Sole,5024,42.49917,12.31096,alpitronic GmbH,342.15199999999993,28,188.16,50.0,Giove,272.9,1010.0,Umbria,0.0385
IT*F2X*EF2XITA9651*2,Area di Servizio - Giove Ovest,A1 - Autostrada del Sole,5024,42.49917,12.31096,alpitronic GmbH,1037.838,211,469.18,22.0,Giove,481.43,6761.0,Umbria,0.0385
IT*F2X*EF2XITN3002*1,Area di Servizio - Rubicone Est,A14 - Autostrada Adriatica,47039,44.11693,12.408955,alpitronic GmbH,36338.61999999998,1098,24778.99,300.0,Savignano sul Rubicone,20903.76,22907.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITA9602*1,Area di Servizio - Giove Ovest,A1 - Autostrada del Sole,5024,42.49929,12.31107,alpitronic GmbH,27303.99200000002,875,18547.57,300.0,Giove,19010.57,22652.0,Umbria,0.0385
IT*F2X*EF2XITA9602*2,Area di Servizio - Giove Ovest,A1 - Autostrada del Sole,5024,42.49929,12.31107,alpitronic GmbH,23121.676,708,15707.86,300.0,Giove,17260.24,20511.0,Umbria,0.0385
IT*F2X*EF2XITA9601*1,Area di Servizio - Giove Ovest,A1 - Autostrada del Sole,5024,42.49927,12.31106,alpitronic GmbH,27132.45200000002,848,18461.65,300.0,Giove,19342.18,24676.0,Umbria,0.0385
IT*F2X*EF2XITA9601*2,Area di Servizio - Giove Ovest,A1 - Autostrada del Sole,5024,42.49927,12.31106,alpitronic GmbH,19023.931999999997,579,12910.7,300.0,Giove,12395.09,14937.0,Umbria,0.0385
IT*F2X*EF2XITN3002*2,Area di Servizio - Rubicone Est,A14 - Autostrada Adriatica,47039,44.11693,12.408955,alpitronic GmbH,37471.236,1194,25487.79,300.0,Savignano sul Rubicone,18993.64,21750.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITW3001*1,Area di Servizio - Fella Est,A23 Autostrada Palmanova-Tarvisio,33010,46.498992,13.375473,alpitronic GmbH,24764.124000000007,706,16840.19,300.0,Malborghetto Valbruna,1813.68,2084.0,Friuli-Venezia Giulia,0.0551
IT*F2X*EF2XITW3001*2,Area di Servizio - Fella Est,A23 Autostrada Palmanova-Tarvisio,33010,46.498992,13.375473,alpitronic GmbH,41818.47499999995,1098,28449.04,300.0,Malborghetto Valbruna,4468.26,4742.0,Friuli-Venezia Giulia,0.0551
IT*F2X*EF2XITW3002*1,Area di Servizio - Fella Est,A23 Autostrada Palmanova-Tarvisio,33010,46.498977,13.375566,alpitronic GmbH,20377.872999999978,573,13856.97,300.0,Malborghetto Valbruna,1781.56,2015.0,Friuli-Venezia Giulia,0.0551
IT*F2X*EF2XITN3051*1,Area di Servizio - Rubicone Est,A14 - Autostrada Adriatica,47039,44.116774,12.408953,EVTEC,3213.3249999999994,145,1767.27,62.5,Savignano sul Rubicone,899.99,1988.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITW3002*2,Area di Servizio - Fella Est,A23 Autostrada Palmanova-Tarvisio,33010,46.498977,13.375566,alpitronic GmbH,32144.875000000036,835,21858.45,300.0,Malborghetto Valbruna,3140.11,3030.0,Friuli-Venezia Giulia,0.0551
IT*F2X*EF2XITW3051*1,Area di Servizio - Fella Est,A23 Autostrada Palmanova-Tarvisio,33010,46.499013,13.3754,EVTEC,3741.771999999999,179,2057.9,62.5,Malborghetto Valbruna,105.87,234.0,Friuli-Venezia Giulia,0.0551
IT*F2X*EF2XITW3051*2,Area di Servizio - Fella Est,A23 Autostrada Palmanova-Tarvisio,33010,46.499013,13.3754,EVTEC,324.661,24,180.2,62.5,Malborghetto Valbruna,26.29,97.0,Friuli-Venezia Giulia,0.0551
IT*F2X*EF2XITW3051*3,Area di Servizio - Fella Est,A23 Autostrada Palmanova-Tarvisio,33010,46.499013,13.3754,EVTEC,258.777,51,116.43,22.0,Malborghetto Valbruna,20.1,224.0,Friuli-Venezia Giulia,0.0551
IT*F2X*EF2XITN3051*2,Area di Servizio - Rubicone Est,A14 - Autostrada Adriatica,47039,44.116774,12.408953,EVTEC,699.901,42,384.93,62.5,Savignano sul Rubicone,514.66,1943.0,Emilia-Romagna,0.0661
IT*F2X*EF2XITH1101*1,Area di Servizio - Villoresi Ovest,A08 MILANO-VARESE,20020,45.558758,9.039773,alpitronic GmbH,12931.165000000008,397,8798.89,,,,,Lombardia,0.0767
