location,amenity_bar,amenity_cafe,amenity_cinema,amenity_conference_centre,amenity_fast_food,amenity_post_office,amenity_pub,amenity_restaurant,amenity_theatre,amenity_university,name,station_postal_code,station_city,totEnergy,totSessions,totCost,Potenza (kW),Ricavi totali (€) (IVA esclusa),Tempo Totale (min),Population,EV_percentage_per_region,competitor_count,median_point,polygon,FTX SPAM,Totale_macchine_interessate,amenity_score
location1,False,False,False,False,False,False,False,True,False,False,My Chef,20070,Melegnano,153125.351,4910,103306.9,1284.5,6104.116864406779,7435.254237288136,10060574.0,0.0767,0,POINT (1048452.1912560249 5045139.863608285),"POLYGON ((5045167.637821238 1048560.0537819914, 5045162.962402624 1048554.0739407596, 5045168.528377163 1048557.3459292448, 5045165.634070404 1048553.1713232943, 5045174.650949158 1048582.0550924998, 5045113.425229222 1048336.7693866454, 5045116.319535982 1048340.3798366733, 5045114.427104638 1048336.0924273019, 5045116.764813946 1048339.5900507012, 5045094.834874259 1048351.2111887553, 5045167.637821238 1048560.0537819914))",40k+,108054,1
location10,True,False,False,False,False,False,False,False,False,False,Autogrill,1021,Civitella D'agliano,30374.900999999998,921,20452.41,0.0,1851.0768644067798,2413.2542372881358,5879082.0,0.0694,0,POINT (1372178.1863801957 4744820.527213574),"POLYGON ((4744831.436523672 1372176.5917016587, 4744824.200756771 1372177.8446633578, 4744816.853670378 1372178.5280970335, 4744816.853670378 1372178.5280970335, 4744831.436523672 1372176.5917016587))",10k-40k,64213,1
location11,False,True,False,False,False,False,False,True,False,False,Ristorante Pizzeria Villaggio del Sole,5024,Giove,55474.28200000004,1934,37478.4,622.0,1676.51,2334.0,838099.0,0.0385,6,POINT (1381129.653490781 4730997.095485848),"POLYGON ((4730997.095485848 1381129.653490781, 4730999.3218756635 1381130.7928867657, 4730985.963536768 1381118.2595333238, 4730997.095485848 1381129.653490781))",40k+,8641,2
location12,False,True,False,False,False,False,False,False,False,False,Autogrill,2046,Magliana Sabina,102194.32000000008,3302,68873.91,0.0,2313.8460805084746,3016.56779661017,5879082.0,0.0694,0,POINT (1401669.9063424752 4710666.928201762),"POLYGON ((4710626.185268132 1401902.8469034005, 4710622.400405445 1401894.0674166796, 4710674.386607646 1401668.9941950948, 4710666.928201762 1401669.9063424752, 4710674.386607646 1401668.9941950948, 4710626.185268132 1401902.8469034005))",40k+,64213,1
location13,False,False,False,False,False,False,False,True,False,False,Sarni,60,Capena,17167.661999999997,542,11596.48,622.0,33.5,43.0,5879082.0,0.0694,0,POINT (1415994.9088682318 4689134.176458639),"POLYGON ((4689134.176458639 1415994.9088682318, 4689141.857503503 1415993.4259049734, 4689129.1670815535 1416000.0422031702, 4689134.176458639 1415994.9088682318))",10k-40k,64213,1
location14,False,False,False,False,True,False,False,False,False,False,Autogrill Prenestina Est,10,Roma,69236.28700000001,2292,46415.92,1325.0,2073.04,2406.0,5879082.0,0.0694,0,POINT (1432181.5065102421 4663211.540596081),"POLYGON ((4663312.507374231 1432217.5740309078, 4663314.733764047 1432221.9112693586, 4663292.915143851 1432211.8671392018, 4663121.48312803 1432136.8786869475, 4663125.156671226 1432145.4390027025, 4663130.166048312 1432151.1458812824, 4663312.507374231 1432217.5740309078))",40k+,64213,1
location15,False,False,False,False,False,False,False,True,False,False,Tempo di Giove,3030,Castrocielo,153319.3339999999,5464,103721.51999999999,1325.0,4119.96843220339,5091.627118644068,5879082.0,0.0694,0,POINT (1537900.4550944422 4619412.052047286),"POLYGON ((4619507.17455217 1538007.235673929, 4619508.065108095 1538013.6516878845, 4619508.399066568 1538004.1422391753, 4619413.777499394 1537883.498560602, 4619410.32659518 1537892.5496820493, 4619407.988885873 1537899.0802399176, 4619406.875690965 1537901.8299489666, 4619391.290962255 1537890.716543283, 4619507.17455217 1538007.235673929))",40k+,64213,1
location16,False,False,False,False,True,False,False,True,False,False,Sarni Grill Teano Ovest,81057,Teano,90146.186,3076,61085.549999999996,622.0,3431.43843220339,4543.627118644068,5797706.0,0.0206,0,POINT (1584748.220516827 4590156.788929106),"POLYGON ((4590156.788929106 1584743.7443557633, 4590150.109759659 1584744.8920892966, 4590160.685111284 1584754.7625997576, 4590159.015318921 1584753.8444125808, 4590121.166692052 1584748.220516827, 4590156.788929106 1584743.7443557633))",40k+,43417,2
location17,False,True,False,False,True,False,False,False,False,False,Burger King,81020,San Nicola La Strada,57708.16600000001,1997,39028.97,622.0,2384.55,3094.0,5797706.0,0.0206,15,POINT (1611313.5442479826 4569559.232228135),"POLYGON ((4569563.907646748 1611312.6251219434, 4569559.232228135 1611313.5442479826, 4569545.428611277 1611338.4755543033, 4569563.907646748 1611312.6251219434))",40k+,43417,2
location18,True,True,True,True,True,True,True,True,True,True,Bar Magenta,20100,Milano,0.147,1,0.07,0.0,1388.307648305085,1809.9406779661017,10060574.0,0.0767,267,POINT (1025782.7607239321 5061195.306786163),"POLYGON ((5061195.306786163 1025776.1077504865, 5061195.306786163 1025782.7607239321, 5061195.195466672 1025788.6243624629, 5061195.306786163 1025776.1077504865))",0k-10k,108054,10
location19,True,True,True,False,True,True,True,True,False,False,McDonald's,20145,Milano,360.044,16,180.91,0.0,1388.307648305085,1809.9406779661017,10060574.0,0.0767,279,POINT (1023594.2176342955 5062006.937193536),"POLYGON ((5062010.276778259 1023594.2176342955, 5062006.937193536 1023602.3360749007, 5062006.269276592 1023583.5058054569, 5062010.276778259 1023594.2176342955))",0k-10k,108054,7
location2,True,False,False,False,False,True,False,True,False,False,Somaglia est,26867,Somaglia,118359.27499999994,4012,79418.88,662.5,2580.9376483050846,3516.9406779661017,10060574.0,0.0767,0,POINT (1077525.6529763783 5025231.708513798),"POLYGON ((5025263.267589437 1077662.7845029626, 5025254.695988646 1077652.1707522096, 5025241.337649751 1077637.3792534305, 5025218.1831956655 1077409.861884805, 5025217.29263974 1077413.9266993261, 5025222.079377844 1077385.81174109, 5025263.267589437 1077662.7845029626))",40k+,108054,3
location20,False,False,False,False,False,False,False,True,False,False,Autogrill,20026,Novate Milanese,36661.801,1367,24029.52,0.0,1388.307648305085,1809.9406779661017,10060574.0,0.0767,12,POINT (1022865.2560223817 5068409.811664983),"POLYGON ((5068409.811664983 1022865.2560223817, 5068407.2513166955 1022865.2560223817, 5068424.61715726 1022853.6423560635, 5068409.811664983 1022865.2560223817))",10k-40k,108054,1
location21,False,False,False,False,True,False,False,True,False,False,La Casareccia,20092,Cinisello Balsamo,27727.593000000008,1061,18757.7,0.0,1388.307648305085,1809.9406779661017,10060574.0,0.0767,6,POINT (1029287.5658270881 5070375.713872394),"POLYGON ((5070375.713872394 1029287.5658270881, 5070381.279846932 1029283.8443456991, 5070369.813939381 1029290.4979035789, 5070375.713872394 1029287.5658270881))",10k-40k,108054,2
location22,True,True,False,False,True,False,True,True,False,False,Tiger Bar,25030,Roncadelle,231301.7369999999,8156,156435.13999999998,1284.5,5178.4,6132.0,10060574.0,0.0767,36,POINT (1135816.6859175737 5068663.842742974),"POLYGON ((5068664.84461839 1135979.9303392873, 5068662.840867557 1135983.3230326462, 5068677.201081869 1135963.5323258718, 5068661.72767265 1135662.9410928637, 5068656.606976072 1135669.8395092757, 5068678.425596268 1135663.5065367825, 5068664.84461839 1135979.9303392873))",40k+,108054,5
location23,True,True,False,False,False,False,False,True,False,False,Autogrill,16019,Ronco Scrivia,56417.59099999997,1949,38286.22,622.0,1623.72843220339,1980.6271186440679,1508901.0,0.0664,10,POINT (1000821.3134923129 4965266.960109457),"POLYGON ((4965265.846914549 1000827.1735165572, 4965266.960109457 1000828.6385227495, 4965262.952607789 1000821.3134923129, 4965375.162654508 1000694.9850964689, 4965366.479734227 1000703.4370287287, 4965265.846914549 1000827.1735165572))",40k+,11489,3
location24,False,False,False,False,False,False,False,True,False,False,Autogrill,20020,Lainate,77119.423,2340,52301.950000000004,0.0,2776.61529661017,3619.8813559322034,10060574.0,0.0767,60,POINT (1010657.0827624837 5071588.094446622),"POLYGON ((5071602.232021953 1010794.601106785, 5071598.447159266 1010794.8265474443, 5071610.692303253 1010792.1212596126, 5071577.7417339785 1010504.0091377595, 5071574.958746709 1010510.0959924272, 5071568.724855225 1010522.0442653549, 5071602.232021953 1010794.601106785))",40k+,108054,1
