Location,amenity_bar,amenity_cafe,amenity_cinema,amenity_conference_centre,amenity_events_venue,amenity_fast_food,amenity_office,amenity_post_office,amenity_pub,amenity_research_institute,amenity_restaurant,amenity_theatre,amenity_university,geometry_left,name,latitude,longitude,FTX SPAM,FTX SPAM.1,geometry_right,reg_name,competitor_count,Totale_macchine_interessate,EV_percentage_per_region,amenity_score
Location 1,True,True,False,False,False,True,True,True,False,False,True,False,False,"POLYGON ((5020490.246526007 860196.9586471755, 5020486.394307344 860118.5449349118, 5020474.874750329 860040.8863895625, 5020455.798794593 859964.7309053718, 5020429.350152016 859890.8119012833, 5020395.783537486 859819.8412577147, 5020355.422215848 859752.5024607598, 5020308.654888697 859689.4440198445, 5020255.931950956 859631.2732222262, 5020197.761153338 859578.5502844852, 5020134.702712422 859531.7829573334, 5020067.363915468 859491.4216356968, 5019996.393271899 859457.8550211664, 5019922.474267811 859431.4063785897, 5019846.318783619 859412.3304228529, 5019768.660238271 859400.8108658377, 5019690.246526007 859396.9586471755, 5019611.832813743 859400.8108658377, 5019534.174268394 859412.3304228529, 5019458.018784203 859431.4063785897, 5019384.099780114 859457.8550211664, 5019313.129136546 859491.4216356968, 5019245.790339591 859531.7829573334, 5019182.731898676 859578.5502844852, 5019124.561101058 859631.2732222262, 5019071.838163316 859689.4440198445, 5019025.070836165 859752.5024607598, 5018984.709514528 859819.8412577147, 5018951.1428999975 859890.8119012833, 5018924.6942574205 859964.7309053718, 5018905.618301684 860040.8863895625, 5018894.098744669 860118.5449349118, 5018890.246526007 860196.9586471755, 5018894.098744669 860275.3723594391, 5018905.618301684 860353.0309047884, 5018924.6942574205 860429.1863889791, 5018951.1428999975 860503.1053930676, 5018984.709514528 860574.0760366363, 5019025.070836165 860641.4148335911, 5019071.838163316 860704.4732745064, 5019124.561101058 860762.6440721247, 5019182.731898676 860815.3670098657, 5019245.790339591 860862.1343370175, 5019313.129136546 860902.4956586541, 5019384.099780114 860936.0622731845, 5019458.018784203 860962.5109157612, 5019534.174268394 860981.586871498, 5019611.832813743 860993.1064285132, 5019690.246526007 860996.9586471755, 5019768.660238271 860993.1064285132, 5019846.318783619 860981.586871498, 5019922.474267811 860962.5109157612, 5019996.393271899 860936.0622731845, 5020067.363915468 860902.4956586541, 5020134.702712422 860862.1343370175, 5020197.761153338 860815.3670098657, 5020255.931950956 860762.6440721247, 5020308.654888697 860704.4732745064, 5020355.422215848 860641.4148335911, 5020395.783537486 860574.0760366363, 5020429.350152016 860503.1053930676, 5020455.798794593 860429.1863889791, 5020474.874750329 860353.0309047884, 5020486.394307344 860275.3723594391, 5020490.246526007 860196.9586471755))",Illy Caffetteria Respighi,45.09934203,7.708654993,40k+,645649.82,POINT (5020435.789891281 860724.1976881741),Piemonte,8,44553,0.0732,5
Location 10,True,True,False,False,False,True,False,True,False,False,True,False,False,"POLYGON ((4993030.655849913 1300097.7721064535, 4993026.803631251 1300019.35839419, 4993015.284074236 1299941.6998488407, 4992996.208118499 1299865.54436465, 4992969.759475922 1299791.6253605615, 4992936.192861392 1299720.6547169928, 4992895.831539755 1299653.315920038, 4992849.0642126035 1299590.2574791226, 4992796.341274862 1299532.0866815043, 4992738.170477244 1299479.3637437634, 4992675.112036329 1299432.5964166115, 4992607.773239374 1299392.2350949747, 4992536.802595805 1299358.6684804445, 4992462.883591717 1299332.219837868, 4992386.728107526 1299313.143882131, 4992309.069562177 1299301.6243251157, 4992230.655849913 1299297.7721064535, 4992152.242137649 1299301.6243251157, 4992074.5835923 1299313.143882131, 4991998.428108109 1299332.219837868, 4991924.509104021 1299358.6684804445, 4991853.538460452 1299392.2350949747, 4991786.1996634975 1299432.5964166115, 4991723.141222582 1299479.3637437634, 4991664.970424964 1299532.0866815043, 4991612.247487223 1299590.2574791226, 4991565.4801600715 1299653.315920038, 4991525.118838434 1299720.6547169928, 4991491.552223904 1299791.6253605615, 4991465.103581327 1299865.54436465, 4991446.027625591 1299941.6998488407, 4991434.5080685755 1300019.35839419, 4991430.655849913 1300097.7721064535, 4991434.5080685755 1300176.1858187171, 4991446.027625591 1300253.8443640664, 4991465.103581327 1300329.999848257, 4991491.552223904 1300403.9188523456, 4991525.118838434 1300474.8894959143, 4991565.4801600715 1300542.2282928692, 4991612.247487223 1300605.2867337845, 4991664.970424964 1300663.4575314028, 4991723.141222582 1300716.1804691437, 4991786.1996634975 1300762.9477962956, 4991853.538460452 1300803.3091179323, 4991924.509104021 1300836.8757324626, 4991998.428108109 1300863.3243750392, 4992074.5835923 1300882.400330776, 4992152.242137649 1300893.9198877914, 4992230.655849913 1300897.7721064535, 4992309.069562177 1300893.9198877914, 4992386.728107526 1300882.400330776, 4992462.883591717 1300863.3243750392, 4992536.802595805 1300836.8757324626, 4992607.773239374 1300803.3091179323, 4992675.112036329 1300762.9477962956, 4992738.170477244 1300716.1804691437, 4992796.341274862 1300663.4575314028, 4992849.0642126035 1300605.2867337845, 4992895.831539755 1300542.2282928692, 4992936.192861392 1300474.8894959143, 4992969.759475922 1300403.9188523456, 4992996.208118499 1300329.999848257, 4993015.284074236 1300253.8443640664, 4993026.803631251 1300176.1858187171, 4993030.655849913 1300097.7721064535))",Ristorante Giapponese Mizuumi,44.8473232,11.5979132,40k+,183647.06,POINT (4992381.182065364 1299982.0639309431),Emilia-Romagna,2,45931,0.0661,5
Location 100,True,False,False,False,False,False,False,False,False,False,False,False,False,"POLYGON ((5079469.216311576 1409336.956291932, 5079465.364092913 1409258.5425796683, 5079453.844535898 1409180.884034319, 5079434.768580162 1409104.7285501284, 5079408.319937585 1409030.80954604, 5079374.753323055 1408959.8389024711, 5079334.392001417 1408892.5001055163, 5079287.624674266 1408829.441664601, 5079234.901736525 1408771.2708669826, 5079176.730938907 1408718.5479292418, 5079113.6724979915 1408671.7806020898, 5079046.333701037 1408631.4192804531, 5078975.363057468 1408597.8526659228, 5078901.44405338 1408571.4040233463, 5078825.288569189 1408552.3280676093, 5078747.63002384 1408540.808510594, 5078669.216311576 1408536.956291932, 5078590.802599312 1408540.808510594, 5078513.144053963 1408552.3280676093, 5078436.988569772 1408571.4040233463, 5078363.069565684 1408597.8526659228, 5078292.098922115 1408631.4192804531, 5078224.76012516 1408671.7806020898, 5078161.701684245 1408718.5479292418, 5078103.530886627 1408771.2708669826, 5078050.8079488855 1408829.441664601, 5078004.040621734 1408892.5001055163, 5077963.679300097 1408959.8389024711, 5077930.112685567 1409030.80954604, 5077903.66404299 1409104.7285501284, 5077884.588087253 1409180.884034319, 5077873.068530238 1409258.5425796683, 5077869.216311576 1409336.956291932, 5077873.068530238 1409415.3700041955, 5077884.588087253 1409493.0285495447, 5077903.66404299 1409569.1840337354, 5077930.112685567 1409643.103037824, 5077963.679300097 1409714.0736813927, 5078004.040621734 1409781.4124783475, 5078050.8079488855 1409844.4709192629, 5078103.530886627 1409902.6417168812, 5078161.701684245 1409955.364654622, 5078224.76012516 1410002.131981774, 5078292.098922115 1410042.4933034107, 5078363.069565684 1410076.059917941, 5078436.988569772 1410102.5085605176, 5078513.144053963 1410121.5845162545, 5078590.802599312 1410133.1040732698, 5078669.216311576 1410136.956291932, 5078747.63002384 1410133.1040732698, 5078825.288569189 1410121.5845162545, 5078901.44405338 1410102.5085605176, 5078975.363057468 1410076.059917941, 5079046.333701037 1410042.4933034107, 5079113.6724979915 1410002.131981774, 5079176.730938907 1409955.364654622, 5079234.901736525 1409902.6417168812, 5079287.624674266 1409844.4709192629, 5079334.392001417 1409781.4124783475, 5079374.753323055 1409714.0736813927, 5079408.319937585 1409643.103037824, 5079434.768580162 1409569.1840337354, 5079453.844535898 1409493.0285495447, 5079465.364092913 1409415.3700041955, 5079469.216311576 1409336.956291932))",Hotel San Marco,45.6226222222222,12.5499777777778,10k-40k,26387.2,POINT (5078687.074431662 1408364.3216247943),Veneto,2,51291,0.062,1
Location 101,False,False,False,False,False,False,False,False,False,False,True,False,False,"POLYGON ((4993326.698903729 1202184.0988454043, 4993322.846685067 1202105.6851331408, 4993311.327128052 1202028.0265877915, 4993292.251172315 1201951.8711036008, 4993265.802529738 1201877.9520995123, 4993232.235915208 1201806.9814559435, 4993191.874593571 1201739.6426589887, 4993145.10726642 1201676.5842180734, 4993092.384328678 1201618.413420455, 4993034.21353106 1201565.6904827142, 4992971.155090145 1201518.9231555623, 4992903.81629319 1201478.5618339255, 4992832.845649621 1201444.9952193953, 4992758.926645533 1201418.5465768187, 4992682.771161342 1201399.4706210818, 4992605.112615993 1201387.9510640665, 4992526.698903729 1201384.0988454043, 4992448.285191465 1201387.9510640665, 4992370.626646116 1201399.4706210818, 4992294.471161925 1201418.5465768187, 4992220.552157837 1201444.9952193953, 4992149.581514268 1201478.5618339255, 4992082.242717314 1201518.9231555623, 4992019.184276398 1201565.6904827142, 4991961.01347878 1201618.413420455, 4991908.290541039 1201676.5842180734, 4991861.523213888 1201739.6426589887, 4991821.16189225 1201806.9814559435, 4991787.59527772 1201877.9520995123, 4991761.146635143 1201951.8711036008, 4991742.070679407 1202028.0265877915, 4991730.551122392 1202105.6851331408, 4991726.698903729 1202184.0988454043, 4991730.551122392 1202262.512557668, 4991742.070679407 1202340.1711030172, 4991761.146635143 1202416.3265872078, 4991787.59527772 1202490.2455912963, 4991821.16189225 1202561.2162348651, 4991861.523213888 1202628.55503182, 4991908.290541039 1202691.6134727353, 4991961.01347878 1202749.7842703536, 4992019.184276398 1202802.5072080945, 4992082.242717314 1202849.2745352464, 4992149.581514268 1202889.6358568831, 4992220.552157837 1202923.2024714134, 4992294.471161925 1202949.65111399, 4992370.626646116 1202968.727069727, 4992448.285191465 1202980.2466267422, 4992526.698903729 1202984.0988454043, 4992605.112615993 1202980.2466267422, 4992682.771161342 1202968.727069727, 4992758.926645533 1202949.65111399, 4992832.845649621 1202923.2024714134, 4992903.81629319 1202889.6358568831, 4992971.155090145 1202849.2745352464, 4993034.21353106 1202802.5072080945, 4993092.384328678 1202749.7842703536, 4993145.10726642 1202691.6134727353, 4993191.874593571 1202628.55503182, 4993232.235915208 1202561.2162348651, 4993265.802529738 1202490.2455912963, 4993292.251172315 1202416.3265872078, 4993311.327128052 1202340.1711030172, 4993322.846685067 1202262.512557668, 4993326.698903729 1202184.0988454043))",La Conchiglia Ristorante Pizzeria,44.8542222222222,10.7386611111111,10k-40k,26310.98,POINT (4993149.177706111 1202483.2093573047),Emilia-Romagna,4,45931,0.0661,1
Location 105,False,False,False,False,False,False,False,False,False,False,True,False,False,"POLYGON ((5000403.701947522 1193488.896653048, 5000399.84972886 1193410.4829407844, 5000388.330171845 1193332.8243954352, 5000369.2542161085 1193256.6689112445, 5000342.805573531 1193182.749907156, 5000309.238959001 1193111.7792635872, 5000268.877637364 1193044.4404666324, 5000222.110310213 1192981.382025717, 5000169.387372471 1192923.2112280987, 5000111.216574853 1192870.4882903579, 5000048.158133938 1192823.720963206, 4999980.819336983 1192783.3596415692, 4999909.848693415 1192749.793027039, 4999835.929689326 1192723.3443844623, 4999759.774205135 1192704.2684287254, 4999682.115659786 1192692.7488717102, 4999603.701947522 1192688.896653048, 4999525.288235258 1192692.7488717102, 4999447.6296899095 1192704.2684287254, 4999371.474205718 1192723.3443844623, 4999297.55520163 1192749.793027039, 4999226.584558061 1192783.3596415692, 4999159.245761107 1192823.720963206, 4999096.187320191 1192870.4882903579, 4999038.016522573 1192923.2112280987, 4998985.293584832 1192981.382025717, 4998938.526257681 1193044.4404666324, 4998898.164936043 1193111.7792635872, 4998864.598321513 1193182.749907156, 4998838.149678936 1193256.6689112445, 4998819.0737232 1193332.8243954352, 4998807.554166185 1193410.4829407844, 4998803.701947522 1193488.896653048, 4998807.554166185 1193567.3103653116, 4998819.0737232 1193644.9689106608, 4998838.149678936 1193721.1243948515, 4998864.598321513 1193795.04339894, 4998898.164936043 1193866.0140425088, 4998938.526257681 1193933.3528394636, 4998985.293584832 1193996.411280379, 4999038.016522573 1194054.5820779973, 4999096.187320191 1194107.3050157381, 4999159.245761107 1194154.07234289, 4999226.584558061 1194194.4336645268, 4999297.55520163 1194228.000279057, 4999371.474205718 1194254.4489216337, 4999447.6296899095 1194273.5248773706, 4999525.288235258 1194285.0444343858, 4999603.701947522 1194288.896653048, 4999682.115659786 1194285.0444343858, 4999759.774205135 1194273.5248773706, 4999835.929689326 1194254.4489216337, 4999909.848693415 1194228.000279057, 4999980.819336983 1194194.4336645268, 5000048.158133938 1194154.07234289, 5000111.216574853 1194107.3050157381, 5000169.387372471 1194054.5820779973, 5000222.110310213 1193996.411280379, 5000268.877637364 1193933.3528394636, 5000309.238959001 1193866.0140425088, 5000342.805573531 1193795.04339894, 5000369.2542161085 1193721.1243948515, 5000388.330171845 1193644.9689106608, 5000399.84972886 1193567.3103653116, 5000403.701947522 1193488.896653048))",Pizzeria da Alberto,44.9078555555556,10.6583638888889,10k-40k,26006.1,POINT (4999119.6130623305 1193386.4391345875),Emilia-Romagna,0,45931,0.0661,1
Location 107,False,False,False,False,False,False,False,False,False,False,True,False,False,"POLYGON ((5056535.074630803 1344828.4469148696, 5056531.222412141 1344750.033202606, 5056519.702855126 1344672.3746572568, 5056500.62689939 1344596.219173066, 5056474.1782568125 1344522.3001689776, 5056440.611642282 1344451.3295254088, 5056400.250320645 1344383.990728454, 5056353.482993494 1344320.9322875387, 5056300.7600557525 1344262.7614899203, 5056242.589258134 1344210.0385521795, 5056179.530817219 1344163.2712250275, 5056112.192020264 1344122.9099033908, 5056041.221376696 1344089.3432888605, 5055967.302372607 1344062.894646284, 5055891.146888416 1344043.818690547, 5055813.4883430675 1344032.2991335317, 5055735.074630803 1344028.4469148696, 5055656.660918539 1344032.2991335317, 5055579.002373191 1344043.818690547, 5055502.846888999 1344062.894646284, 5055428.927884911 1344089.3432888605, 5055357.957241342 1344122.9099033908, 5055290.618444388 1344163.2712250275, 5055227.5600034725 1344210.0385521795, 5055169.389205854 1344262.7614899203, 5055116.666268113 1344320.9322875387, 5055069.898940962 1344383.990728454, 5055029.537619324 1344451.3295254088, 5054995.971004794 1344522.3001689776, 5054969.522362217 1344596.219173066, 5054950.446406481 1344672.3746572568, 5054938.926849466 1344750.033202606, 5054935.074630803 1344828.4469148696, 5054938.926849466 1344906.8606271332, 5054950.446406481 1344984.5191724824, 5054969.522362217 1345060.674656673, 5054995.971004794 1345134.5936607616, 5055029.537619324 1345205.5643043304, 5055069.898940962 1345272.9031012852, 5055116.666268113 1345335.9615422005, 5055169.389205854 1345394.1323398189, 5055227.5600034725 1345446.8552775597, 5055290.618444388 1345493.6226047117, 5055357.957241342 1345533.9839263484, 5055428.927884911 1345567.5505408787, 5055502.846888999 1345593.9991834552, 5055579.002373191 1345613.0751391922, 5055656.660918539 1345624.5946962074, 5055735.074630803 1345628.4469148696, 5055813.4883430675 1345624.5946962074, 5055891.146888416 1345613.0751391922, 5055967.302372607 1345593.9991834552, 5056041.221376696 1345567.5505408787, 5056112.192020264 1345533.9839263484, 5056179.530817219 1345493.6226047117, 5056242.589258134 1345446.8552775597, 5056300.7600557525 1345394.1323398189, 5056353.482993494 1345335.9615422005, 5056400.250320645 1345272.9031012852, 5056440.611642282 1345205.5643043304, 5056474.1782568125 1345134.5936607616, 5056500.62689939 1345060.674656673, 5056519.702855126 1344984.5191724824, 5056531.222412141 1344906.8606271332, 5056535.074630803 1344828.4469148696))",Dakota,45.417875,12.0,10k-40k,25929.88,POINT (5055894.71791255 1345708.4084091089),Veneto,4,51291,0.062,1
Location 109,True,True,False,False,False,True,False,False,False,False,True,False,False,"POLYGON ((5081392.984091719 1413040.8584233823, 5081389.131873056 1412962.4447111187, 5081377.612316041 1412884.7861657694, 5081358.536360305 1412808.6306815788, 5081332.087717728 1412734.7116774903, 5081298.521103198 1412663.7410339215, 5081258.15978156 1412596.4022369666, 5081211.392454409 1412533.3437960513, 5081158.669516668 1412475.172998433, 5081100.49871905 1412422.4500606922, 5081037.440278134 1412375.6827335402, 5080970.10148118 1412335.3214119035, 5080899.130837611 1412301.7547973732, 5080825.211833523 1412275.3061547966, 5080749.0563493315 1412256.2301990597, 5080671.397803983 1412244.7106420444, 5080592.984091719 1412240.8584233823, 5080514.570379455 1412244.7106420444, 5080436.911834106 1412256.2301990597, 5080360.756349915 1412275.3061547966, 5080286.837345826 1412301.7547973732, 5080215.866702258 1412335.3214119035, 5080148.527905303 1412375.6827335402, 5080085.469464388 1412422.4500606922, 5080027.29866677 1412475.172998433, 5079974.575729028 1412533.3437960513, 5079927.808401877 1412596.4022369666, 5079887.44708024 1412663.7410339215, 5079853.88046571 1412734.7116774903, 5079827.431823133 1412808.6306815788, 5079808.355867396 1412884.7861657694, 5079796.836310381 1412962.4447111187, 5079792.984091719 1413040.8584233823, 5079796.836310381 1413119.2721356458, 5079808.355867396 1413196.930680995, 5079827.431823133 1413273.0861651858, 5079853.88046571 1413347.0051692743, 5079887.44708024 1413417.975812843, 5079927.808401877 1413485.314609798, 5079974.575729028 1413548.3730507132, 5080027.29866677 1413606.5438483316, 5080085.469464388 1413659.2667860724, 5080148.527905303 1413706.0341132244, 5080215.866702258 1413746.395434861, 5080286.837345826 1413779.9620493914, 5080360.756349915 1413806.410691968, 5080436.911834106 1413825.4866477048, 5080514.570379455 1413837.0062047201, 5080592.984091719 1413840.8584233823, 5080671.397803983 1413837.0062047201, 5080749.0563493315 1413825.4866477048, 5080825.211833523 1413806.410691968, 5080899.130837611 1413779.9620493914, 5080970.10148118 1413746.395434861, 5081037.440278134 1413706.0341132244, 5081100.49871905 1413659.2667860724, 5081158.669516668 1413606.5438483316, 5081211.392454409 1413548.3730507132, 5081258.15978156 1413485.314609798, 5081298.521103198 1413417.975812843, 5081332.087717728 1413347.0051692743, 5081358.536360305 1413273.0861651858, 5081377.612316041 1413196.930680995, 5081389.131873056 1413119.2721356458, 5081392.984091719 1413040.8584233823))",Coin Outlet,45.6405666666667,12.5999361111111,10k-40k,24634.15,POINT (5080684.640849792 1414062.3420717125),Veneto,12,51291,0.062,4
Location 11,True,True,True,False,False,True,False,True,True,False,True,True,False,"POLYGON ((5071394.824026121 1026241.784735389, 5071390.971807458 1026163.3710231254, 5071379.452250443 1026085.7124777761, 5071360.376294707 1026009.5569935854, 5071333.92765213 1025935.6379894969, 5071300.3610376 1025864.6673459283, 5071259.999715962 1025797.3285489734, 5071213.232388811 1025734.2701080581, 5071160.50945107 1025676.0993104398, 5071102.338653452 1025623.3763726988, 5071039.280212536 1025576.609045547, 5070971.941415582 1025536.2477239104, 5070900.970772013 1025502.68110938, 5070827.051767925 1025476.2324668033, 5070750.896283734 1025457.1565110665, 5070673.237738385 1025445.6369540513, 5070594.824026121 1025441.784735389, 5070516.410313857 1025445.6369540513, 5070438.751768508 1025457.1565110665, 5070362.596284317 1025476.2324668033, 5070288.677280229 1025502.68110938, 5070217.70663666 1025536.2477239104, 5070150.367839705 1025576.609045547, 5070087.30939879 1025623.3763726988, 5070029.138601172 1025676.0993104398, 5069976.4156634305 1025734.2701080581, 5069929.648336279 1025797.3285489734, 5069889.287014642 1025864.6673459283, 5069855.720400112 1025935.6379894969, 5069829.271757535 1026009.5569935854, 5069810.195801798 1026085.7124777761, 5069798.676244783 1026163.3710231254, 5069794.824026121 1026241.784735389, 5069798.676244783 1026320.1984476527, 5069810.195801798 1026397.856993002, 5069829.271757535 1026474.0124771927, 5069855.720400112 1026547.9314812812, 5069889.287014642 1026618.9021248498, 5069929.648336279 1026686.2409218047, 5069976.4156634305 1026749.29936272, 5070029.138601172 1026807.4701603383, 5070087.30939879 1026860.1930980793, 5070150.367839705 1026906.9604252311, 5070217.70663666 1026947.3217468677, 5070288.677280229 1026980.8883613981, 5070362.596284317 1027007.3370039748, 5070438.751768508 1027026.4129597116, 5070516.410313857 1027037.9325167268, 5070594.824026121 1027041.784735389, 5070673.237738385 1027037.9325167268, 5070750.896283734 1027026.4129597116, 5070827.051767925 1027007.3370039748, 5070900.970772013 1026980.8883613981, 5070971.941415582 1026947.3217468677, 5071039.280212536 1026906.9604252311, 5071102.338653452 1026860.1930980793, 5071160.50945107 1026807.4701603383, 5071213.232388811 1026749.29936272, 5071259.999715962 1026686.2409218047, 5071300.3610376 1026618.9021248498, 5071333.92765213 1026547.9314812812, 5071360.376294707 1026474.0124771927, 5071379.452250443 1026397.856993002, 5071390.971807458 1026320.1984476527, 5071394.824026121 1026241.784735389))",Pour Parler Cusano,45.5427892825392,9.18957908132117,40k+,112727.27,POINT (5069800.11223762 1027393.611389755),Lombardia,9,108054,0.0767,8
Location 110,False,True,False,False,False,False,False,False,False,False,True,False,False,"POLYGON ((4966796.971066182 1266291.2104587331, 4966793.118847519 1266212.7967464696, 4966781.599290504 1266135.1382011203, 4966762.523334768 1266058.9827169296, 4966736.074692191 1265985.0637128411, 4966702.508077661 1265914.0930692723, 4966662.146756023 1265846.7542723175, 4966615.379428872 1265783.6958314022, 4966562.656491131 1265725.5250337839, 4966504.4856935125 1265672.802096043, 4966441.427252597 1265626.034768891, 4966374.088455643 1265585.6734472543, 4966303.117812074 1265552.106832724, 4966229.1988079855 1265525.6581901475, 4966153.043323794 1265506.5822344106, 4966075.384778446 1265495.0626773953, 4965996.971066182 1265491.2104587331, 4965918.5573539175 1265495.0626773953, 4965840.898808569 1265506.5822344106, 4965764.743324378 1265525.6581901475, 4965690.824320289 1265552.106832724, 4965619.8536767205 1265585.6734472543, 4965552.514879766 1265626.034768891, 4965489.456438851 1265672.802096043, 4965431.2856412325 1265725.5250337839, 4965378.562703491 1265783.6958314022, 4965331.79537634 1265846.7542723175, 4965291.4340547025 1265914.0930692723, 4965257.8674401725 1265985.0637128411, 4965231.418797595 1266058.9827169296, 4965212.342841859 1266135.1382011203, 4965200.823284844 1266212.7967464696, 4965196.971066182 1266291.2104587331, 4965200.823284844 1266369.6241709967, 4965212.342841859 1266447.282716346, 4965231.418797595 1266523.4382005366, 4965257.8674401725 1266597.3572046252, 4965291.4340547025 1266668.327848194, 4965331.79537634 1266735.6666451488, 4965378.562703491 1266798.725086064, 4965431.2856412325 1266856.8958836824, 4965489.456438851 1266909.6188214233, 4965552.514879766 1266956.3861485752, 4965619.8536767205 1266996.747470212, 4965690.824320289 1267030.3140847422, 4965764.743324378 1267056.7627273188, 4965840.898808569 1267075.8386830557, 4965918.5573539175 1267087.358240071, 4965996.971066182 1267091.2104587331, 4966075.384778446 1267087.358240071, 4966153.043323794 1267075.8386830557, 4966229.1988079855 1267056.7627273188, 4966303.117812074 1267030.3140847422, 4966374.088455643 1266996.747470212, 4966441.427252597 1266956.3861485752, 4966504.4856935125 1266909.6188214233, 4966562.656491131 1266856.8958836824, 4966615.379428872 1266798.725086064, 4966662.146756023 1266735.6666451488, 4966702.508077661 1266668.327848194, 4966736.074692191 1266597.3572046252, 4966762.523334768 1266523.4382005366, 4966781.599290504 1266447.282716346, 4966793.118847519 1266369.6241709967, 4966796.971066182 1266291.2104587331))",Il Fienile,44.6108586,11.3008609,10k-40k,9729.73,POINT (4966058.063202729 1266242.9188201295),Emilia-Romagna,0,45931,0.0661,2
Location 112,False,False,False,False,False,False,False,False,False,False,True,False,False,"POLYGON ((5073501.122375319 1365282.6279553606, 5073497.270156656 1365204.214243097, 5073485.750599641 1365126.5556977477, 5073466.674643905 1365050.400213557, 5073440.226001328 1364976.4812094686, 5073406.659386798 1364905.5105658998, 5073366.29806516 1364838.171768945, 5073319.530738009 1364775.1133280296, 5073266.807800268 1364716.9425304113, 5073208.63700265 1364664.2195926704, 5073145.578561734 1364617.4522655185, 5073078.23976478 1364577.0909438818, 5073007.269121211 1364543.5243293515, 5072933.350117123 1364517.075686775, 5072857.194632932 1364497.999731038, 5072779.536087583 1364486.4801740227, 5072701.122375319 1364482.6279553606, 5072622.708663055 1364486.4801740227, 5072545.050117706 1364497.999731038, 5072468.894633515 1364517.075686775, 5072394.975629427 1364543.5243293515, 5072324.004985858 1364577.0909438818, 5072256.666188903 1364617.4522655185, 5072193.607747988 1364664.2195926704, 5072135.43695037 1364716.9425304113, 5072082.714012628 1364775.1133280296, 5072035.946685477 1364838.171768945, 5071995.58536384 1364905.5105658998, 5071962.01874931 1364976.4812094686, 5071935.570106733 1365050.400213557, 5071916.494150996 1365126.5556977477, 5071904.974593981 1365204.214243097, 5071901.122375319 1365282.6279553606, 5071904.974593981 1365361.0416676241, 5071916.494150996 1365438.7002129734, 5071935.570106733 1365514.855697164, 5071962.01874931 1365588.7747012526, 5071995.58536384 1365659.7453448214, 5072035.946685477 1365727.0841417762, 5072082.714012628 1365790.1425826915, 5072135.43695037 1365848.3133803098, 5072193.607747988 1365901.0363180507, 5072256.666188903 1365947.8036452027, 5072324.004985858 1365988.1649668394, 5072394.975629427 1366021.7315813696, 5072468.894633515 1366048.1802239462, 5072545.050117706 1366067.2561796831, 5072622.708663055 1366078.7757366984, 5072701.122375319 1366082.6279553606, 5072779.536087583 1366078.7757366984, 5072857.194632932 1366067.2561796831, 5072933.350117123 1366048.1802239462, 5073007.269121211 1366021.7315813696, 5073078.23976478 1365988.1649668394, 5073145.578561734 1365947.8036452027, 5073208.63700265 1365901.0363180507, 5073266.807800268 1365848.3133803098, 5073319.530738009 1365790.1425826915, 5073366.29806516 1365727.0841417762, 5073406.659386798 1365659.7453448214, 5073440.226001328 1365588.7747012526, 5073466.674643905 1365514.855697164, 5073485.750599641 1365438.7002129734, 5073497.270156656 1365361.0416676241, 5073501.122375319 1365282.6279553606))",Ristorante I Savi,45.5666972222222,12.1717611111111,0k-10k,9864.86,POINT (5072461.531909049 1365262.1878416978),Veneto,0,51291,0.062,1
